Discipline (link to medalists list),Contested,Number of,,Medals awarded,,,,Athlete(s) with the most medals,Athlete(s) with the most gold medals
,,Olympics,Medal events,"1st place, gold medalist(s)","2nd place, silver medalist(s)","3rd place, bronze medalist(s)",Total,(gold–silver–bronze),
,,(up to conclusion of 2024),(in 2024),,,,,,
Wrestling,1896;,29,18,446,446,536,1428, Mijaín López (CUB) (5–0–0), Mijaín López (CUB) (5–0–0)
"(freestyle, Greco-Roman)",since 1904,,,,,,, Wilfried Dietrich (FRG) (1–2–2),
,,,,,,,,,
Winter Olympic sports,,,,,,,,,
,,,,,,,,,
"Sports that will appear in the 2026 Winter Olympics are listed below, except for Ski mountaineering are making their first appearance in 2026.",,,,,,,,,
,,,,,,,,,
Discipline (link to medalists list),Contested,Number of,,Medals awarded,,,,Athlete(s) with the most medals,Athlete(s) with the most gold medals
,,Olympics,Medal events,"1st place, gold medalist(s)","2nd place, silver medalist(s)","3rd place, bronze medalist(s)",Total,(gold-silver-bronze),
,,(up to 2022),(in 2022),,,,,,
Alpine skiing,Since 1936,19,11,167,168,165,500, Kjetil André Aamodt (NOR) (4–2–2), Kjetil André Aamodt (NOR) (4–2–2)
,,,,,,,,, Janica Kostelić (CRO) (4–2–0)
Biathlon,1924[a];,16,11,97,97,96,190, Ole Einar Bjørndalen (NOR) (8–4–1), Ole Einar Bjørndalen (NOR) (8–4–1)
,since 1960,,,,,,,,
Bobsleigh,1924–1956;,21,4,44,46,47,137, Bogdan Musioł (GDR) (1–5–1), Kevin Kuske (GER) (4–2–0)
,since 1964,,,,,,,, André Lange (GER) (4–1–0)
,,,,,,,,, Francesco Friedrich (GER) (4–0–0)
,,,,,,,,, Thorsten Margis (GER) (4–0–0)
Cross-country skiing,Since 1924,22,12,134,132,133,399, Marit Bjørgen (NOR) (8–4–3), Marit Bjørgen (NOR) (8–4–3)
,,,,,,,,, Bjørn Dæhlie (NOR) (8–4–0)
Curling,1924;,6,3,7,7,7,21, Oskar Eriksson (SWE) (1–1–2), Anna Le Moine (SWE) (2–0–0)
,since 1998,,,,,,,, Cathrine Lindahl (SWE) (2–0–0)
,,,,,,,,, Eva Lund (SWE) (2–0–0)
,,,,,,,,, Anette Norberg (SWE) (2–0–0)
,,,,,,,,, John Morris (CAN) (2–0–0)
,,,,,,,,, Kaitlyn Lawes (CAN) (2–0–0)
Figure skating,Summer: 1908; 1920,24,5,77,75,76,228, Scott Moir (CAN) (3–2–0), Scott Moir (CAN) (3–2–0)
,Winter: since 1924[b],,,,,,, Tessa Virtue (CAN) (3–2–0), Tessa Virtue (CAN) (3–2–0)
,,,,,,,,, Gillis Grafström (SWE) (3–1–0)
,,,,,,,,, Sonja Henie (NOR) (3–0–0)
,,,,,,,,, Irina Rodnina (URS) (3–0–0)
Freestyle skiing,Since 1992,7,10,18,18,18,54, Ailing Eileen Gu (CHN) (2–1–0), Ailing Eileen Gu (CHN) (2–1–0)
,,,,,,,, David Wise (USA) (2–1–0), David Wise (USA) (2–1–0)
,,,,,,,, Mikaël Kingsbury (CAN) (1–2–0), Alexandre Bilodeau (CAN) (2–0–0)
,,,,,,,, Xu Mengtao (CHN) (1–2–0),
,,,,,,,, Mathilde Gremaud (SUI) (1–1–1),
,,,,,,,, Kari Traa (NOR) (1–1–1),
,,,,,,,, Nick Goepper (USA) (0–2–1),
,,,,,,,, Jia Zongyang (CHN) (0–2–1),
